Breast	SVM	1.0	0.7777777777777778	0.923076923076923	0.923076923076923	0.7272727272727273	0.8702408702408702	0.010282008417206548
ecoli	SVM	1.0	0.8695652173913043	0.9473684210526316	0.9	0.6956521739130435	0.8825171624713958	0.010679965858333033
glass	SVM	0.6666666666666666	0.7027027027027025	0.7027027027027025	0.75	0.888888888888889	0.7421921921921921	0.00608076545013483
haberman	SVM	0.3846153846153846	0.5185185185185185	0.48484848484848486	0.5625	0.4615384615384615	0.48240416990416995	0.003544717432796947
heart	SVM	0.7916666666666666	0.8260869565217391	0.9019607843137256	0.851063829787234	0.8333333333333334	0.8408223141245397	0.0013064588908238725
iris	SVM	1.0	1.0	0.9473684210526316	0.9523809523809523	0.9523809523809523	0.9704260651629074	0.000586428477208058
libras	SVM	0.9655172413793104	0.9655172413793104	0.888888888888889	0.8333333333333333	0.5454545454545454	0.8397422500870778	0.02414008325729582
liver	SVM	0.6666666666666667	0.65625	0.746268656716418	0.6538461538461539	0.7272727272727274	0.6900608409003932	0.0015092013910203636
segment	SVM	0.9924812030075187	0.9014084507042254	0.9692307692307692	0.7564102564102564	0.717948717948718	0.8674958794602976	0.012365150110354876
Vehicle	SVM	0.975	1.0	0.9873417721518987	0.963855421686747	0.9743589743589743	0.980111233639524	0.00015426166658261096
wine	SVM	0.9285714285714286	0.9655172413793104	1.0	1.0	1.0	0.9788177339901477	0.000809531898371714
yeast	SVM	0.7000000000000001	0.5	0.45454545454545453	0.4285714285714285	0.18181818181818182	0.45298701298701294	0.027471344240175416
Breast	SMOTE-SVM	0.6956521739130436	0.6666666666666666	1.0	1.0	0.923076923076923	0.8570791527313266	0.02150480543966075
ecoli	SMOTE-SVM	0.9565217391304348	0.8333333333333333	1.0	0.9	0.6956521739130435	0.8771014492753622	0.011355093467758879
glass	SMOTE-SVM	0.689655172413793	0.7096774193548386	0.7058823529411764	0.888888888888889	0.9655172413793104	0.7919242149956015	0.0128326762563705
haberman	SMOTE-SVM	0.48	0.5365853658536586	0.6363636363636364	0.631578947368421	0.45	0.5469055899171431	0.005829175576033156
heart	SMOTE-SVM	0.8	0.8260869565217391	0.9199999999999999	0.8333333333333334	0.8085106382978724	0.8375861856305888	0.0018400929249259902
iris	SMOTE-SVM	1.0	1.0	1.0	0.9523809523809523	0.9090909090909091	0.9722943722943723	0.0013388054946496517
libras	SMOTE-SVM	0.9333333333333333	1.0	0.888888888888889	0.8333333333333333	0.6666666666666666	0.8644444444444446	0.0127604938271605
liver	SMOTE-SVM	0.7272727272727273	0.6666666666666667	0.7419354838709677	0.6909090909090909	0.7272727272727274	0.710811339198436	0.0007711037152338824
segment	SMOTE-SVM	0.9924812030075187	0.8695652173913043	1.0	0.7261904761904762	0.717948717948718	0.8612371229076035	0.015063733112632826
Vehicle	SMOTE-SVM	0.9629629629629629	1.0	0.9873417721518987	0.9876543209876543	0.9743589743589743	0.982463606092298	0.00016084505490129638
wine	SMOTE-SVM	0.9285714285714286	0.9655172413793104	1.0	1.0	1.0	0.9788177339901477	0.000809531898371714
yeast	SMOTE-SVM	0.5	0.37037037037037035	0.5714285714285713	0.4210526315789474	0.28169014084507044	0.42890834284459184	0.010105528938717124
Breast	cGAN-SMOTE	0.6956521739130436	0.6363636363636364	0.923076923076923	1.0	0.7272727272727273	0.7964730921252661	0.019608063621970314
ecoli	cGAN-SMOTE	1.0	0.8333333333333333	0.9473684210526316	0.8571428571428572	0.761904761904762	0.8799498746867169	0.007117040722106016
glass	cGAN-SMOTE	0.6666666666666666	0.8148148148148148	0.7058823529411764	0.9333333333333333	0.9655172413793104	0.8172428818270603	0.014108507621349835
haberman	cGAN-SMOTE	0.5161290322580646	0.5294117647058824	0.631578947368421	0.6111111111111112	0.4615384615384615	0.5499538633963882	0.003957248717465329
heart	cGAN-SMOTE	0.8	0.875	0.9199999999999999	0.8333333333333334	0.8085106382978724	0.8473687943262412	0.0019979057391479264
iris	cGAN-SMOTE	1.0	1.0	1.0	1.0	0.9523809523809523	0.9904761904761905	0.0003628117913832208
libras	cGAN-SMOTE	0.9285714285714286	1.0	0.8571428571428571	0.8333333333333333	0.6666666666666666	0.8571428571428571	0.01247165532879819
liver	cGAN-SMOTE	0.6885245901639345	0.6938775510204082	0.7246376811594203	0.7142857142857143	0.6538461538461539	0.6950343380951263	0.0005974309804010027
segment	cGAN-SMOTE	0.9924812030075187	0.8714285714285714	1.0	0.7310344827586207	0.725925925925926	0.8641740366241274	0.01436054609253527
Vehicle	cGAN-SMOTE	0.9629629629629629	1.0	0.9873417721518987	0.975609756097561	0.9743589743589743	0.9800546931142794	0.00015904854089072654
wine	cGAN-SMOTE	0.9333333333333333	0.9655172413793104	1.0	1.0	1.0	0.9797701149425286	0.0007174527678689387
yeast	cGAN-SMOTE	0.5	0.4	0.5454545454545454	0.5	0.2857142857142857	0.4462337662337662	0.008706088716478325
