Breast	0.10	0.7848484848484848	0.811,1000.000	0.7941666666666667	0.123,10000.000	0.8857142857142858	0.010,0.100	0.7857142857142858	1.520,1000.000	0.7587858813846587	0.811,1000.000	0.7457484544441065	0.811,1000.000	0.9783163265306122	0.811,100.000
Breast	0.20	0.8316017316017316	0.811,1000.000	0.8076190476190476	0.231,1000.000	0.8857142857142858	0.811,1000.000	0.8	0.123,10000.000	0.8191925216328203	0.811,1000.000	0.8025336981858722	0.811,1000.000	0.9721938775510204	0.231,1000.000
Breast	0.30	0.7848484848484849	0.231,10000.000	0.7875	0.123,10000.000	0.8571428571428571	0.010,0.100	0.7571428571428571	0.123,10000.000	0.759262362016273	0.231,10000.000	0.7618603425559947	0.231,10000.000	0.9803571428571427	0.811,100.000
Breast	0.40	0.7848484848484849	0.811,1000.000	0.7714285714285715	10.000,10000.000	0.8857142857142858	0.010,10000.000	0.7714285714285715	10.000,10000.000	0.7686600253105238	0.811,1000.000	0.7666222473178994	0.811,1000.000	0.975	0.231,1000.000
Breast	0.50	0.7852813852813852	0.811,1000.000	0.775	0.811,1000.000	0.8857142857142858	0.231,10000.000	0.7428571428571429	0.811,1000.000	0.7681203533569663	0.231,10000.000	0.7684757271713794	0.811,1000.000	0.9823979591836736	0.433,1000.000
Breast	0.60	0.7943722943722944	0.811,1000.000	0.7816176470588235	0.811,1000.000	0.8857142857142858	0.231,10000.000	0.7428571428571429	0.811,1000.000	0.78006789851868	1.520,100.000	0.7798090605047128	0.811,1000.000	0.9673469387755101	0.811,100.000
Breast	0.70	0.7943722943722944	0.811,1000.000	0.7875	0.231,10000.000	0.8857142857142858	0.811,1000.000	0.7714285714285715	0.433,10000.000	0.7753955310250799	0.811,1000.000	0.7798090605047128	0.811,1000.000	0.9821428571428571	0.811,100.000
Breast	0.80	0.7943722943722944	0.433,10000.000	0.7816176470588235	0.123,10000.000	0.8857142857142858	0.010,10000.000	0.7571428571428571	0.433,10000.000	0.7783471572307995	0.433,10000.000	0.7735481909394952	0.433,10000.000	0.9770408163265305	0.811,100.000
Breast	0.90	0.7848484848484849	0.811,1000.000	0.7634920634920634	2.848,100.000	0.8857142857142858	0.010,1000.000	0.7571428571428571	10.000,1000.000	0.7686600253105238	0.811,1000.000	0.7666222473178994	0.811,1000.000	0.9604591836734693	0.811,100.000
Breast	1.00	0.7753246753246754	0.433,1000.000	0.7823529411764706	10.000,10000.000	1.0	0.010,1000.000	0.7714285714285715	10.000,10000.000	0.7657697456083836	0.433,1000.000	0.7507272727272728	0.433,1000.000	0.9619897959183673	0.231,1000.000
ecoli	0.10	0.9551267725543406	10.000,0.100	0.8371794871794872	10.000,0.100	0.9418181818181818	0.010,0.100	0.9610275689223057	10.000,0.100	0.9409302079831774	10.000,0.100	0.8714446987032799	10.000,0.100	0.9555194805194805	0.123,10000.000
ecoli	0.20	0.9522308244871898	10.000,0.100	0.8278721278721279	10.000,0.100	0.9418181818181818	0.010,0.100	0.9610902255639097	10.000,0.100	0.9318019837819186	10.000,0.100	0.8593871041239464	10.000,0.100	0.9583128275233538	5.337,10.000
ecoli	0.30	0.9521416979274748	10.000,0.100	0.8208158508158508	10.000,0.100	0.9418181818181818	0.010,0.100	0.9575187969924812	10.000,0.100	0.9392434928497451	10.000,0.100	0.8628732701318513	10.000,0.100	0.9563801549327865	0.231,10000.000
ecoli	0.40	0.9492005214568866	10.000,0.100	0.8193006993006993	10.000,1.000	0.9418181818181818	0.010,0.100	0.9575187969924812	10.000,1.000	0.9374655389879049	10.000,0.100	0.8549022556390978	10.000,0.100	0.9579294827979039	0.231,10000.000
ecoli	0.50	0.9521416979274748	10.000,0.100	0.8208158508158508	10.000,0.100	0.9418181818181818	0.010,0.100	0.9575187969924812	10.000,0.100	0.9392434928497451	10.000,0.100	0.8628732701318513	10.000,0.100	0.960207336523126	0.231,10000.000
ecoli	0.60	0.9433181685157102	10.000,0.100	0.7841491841491842	10.000,0.100	0.9418181818181818	0.010,0.100	0.9469924812030076	10.000,0.100	0.9338604639632294	10.000,0.100	0.8407996915365337	10.000,0.100	0.9544343814080655	2.848,10.000
ecoli	0.70	0.9404661186048369	10.000,0.100	0.7793872793872795	10.000,0.100	0.9418181818181818	0.010,0.100	0.9470551378446116	10.000,0.100	0.9249264907408804	10.000,0.100	0.8314150761519183	10.000,0.100	0.9538801549327867	2.848,10.000
ecoli	0.80	0.9492005214568866	10.000,0.100	0.8098268398268399	10.000,0.100	0.9618181818181817	0.010,0.100	0.9540100250626568	10.000,0.100	0.9375168835317085	10.000,0.100	0.8562066034651847	10.000,0.100	0.9541216678058783	0.231,10000.000
ecoli	0.90	0.9434072950754251	10.000,0.100	0.7826839826839828	10.000,0.100	0.9618181818181817	0.010,0.100	0.9470551378446116	10.000,0.100	0.9339857286308717	10.000,0.100	0.8407484094852518	10.000,0.100	0.9537514240145818	2.848,10.000
ecoli	1.00	0.9433181685157102	10.000,0.100	0.7836363636363637	10.000,0.100	0.9618181818181817	0.010,0.100	0.9469924812030076	10.000,0.100	0.9339447377752826	10.000,0.100	0.8409022556390978	10.000,0.100	0.9554038505354295	2.848,10.000
glass	0.10	0.7996677740863788	1.520,10000.000	0.7796825396825396	10.000,10000.000	1.0	0.010,0.100	0.8827586206896552	10.000,10000.000	0.7952613138890369	10.000,1.000	0.7474786474786475	10.000,1.000	0.8652709359605911	10.000,1.000
